#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
81,/about/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
82,/about/pr/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
83,/about/press/holod_i_stroinost/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
84,/about/press/rodnie_prostori/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
85,/about/press/ultrazvuk_i_holod/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
86,/about/privacy/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
87,/about/privacy/policy.pdf,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
88,/about/reviews/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
89,/articles/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
90,/articles/lotos/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
91,/contacts/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
92,/hits/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
93,/nashi-vrachi/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
94,/nashi-vrachi/alekseeva/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
95,/nashi-vrachi/barikina/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
96,/nashi-vrachi/baulin/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
97,/nashi-vrachi/cherenkova/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
98,/nashi-vrachi/chirkova/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
99,/nashi-vrachi/ganshin/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
100,/nashi-vrachi/golopolosova-oksana-viktorovna/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
101,/nashi-vrachi/hmara/,1,0.49,0,0,2,0.01,"2019-10-30 12:31:39","2019-12-23 12:25:38"
102,/nashi-vrachi/kochetkova/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
103,/nashi-vrachi/nehayi/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
