#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
106,"увеличение груди",1,0.61,1,0.76,1,0.10,"2019-06-08 03:30:28","2019-06-08 03:30:28"
107,"увеличение груди, липосакция",1,0.61,1,0.76,2,0.20,"2020-05-02 02:23:34","2020-05-14 09:42:52"
108,"увеличение груди, подтяжка лица",1,0.61,1,0.76,2,0.20,"2019-08-30 22:54:03","2020-05-14 23:27:08"
109,"увеличение и подтяжка груди",1,0.61,1,0.76,1,0.10,"2018-07-08 19:22:41","2020-03-30 23:18:25"
110,"увеличения груди",1,0.61,1,0.76,1,0.10,"2020-05-16 04:25:09","2020-05-16 04:25:09"
111,"увеличивающая маммопластика",1,0.61,1,0.76,9,0.92,"2017-04-18 07:53:38","2020-03-10 13:15:17"
112,"увеличить грудь в помощью операции",1,0.61,1,0.76,1,0.10,"2020-04-26 12:07:12","2020-04-26 12:07:12"
113,"удаление грудных имплантатов",1,0.61,1,0.76,2,0.20,"2018-11-16 00:09:48","2020-04-26 10:32:22"
114,"уменьшение ареол",1,0.61,1,0.76,2,0.20,"2014-10-10 11:16:37","2020-06-07 05:15:23"
115,"уменьшению груди",1,0.61,1,0.76,5,0.51,"2019-05-30 09:54:51","2019-06-11 23:17:50"
116,"уменьшить грудь",2,1,1,0.76,2,0.20,"2020-05-25 21:32:30","2020-06-08 00:03:16"
117,"хирург по пластике груди",1,0.61,1,0.76,1,0.10,"2019-05-05 04:25:02","2020-02-29 10:48:35"
118,"хирург, профессор блохин с.н.",1,0.61,1,0.76,0,0,"2018-04-25 01:09:42","2020-02-05 09:00:08"
119,"цены на абдоминопластику",1,0.61,1,0.76,1,0.10,"2020-04-04 11:17:15","2020-04-04 11:17:15"
120,эндопротезирование,1,0.61,1,0.76,0,0,"2017-04-18 07:53:38","2020-03-10 13:15:17"
121,"эндопротезирование ягодиц",1,0.61,1,0.76,1,0.10,"2013-08-09 23:30:07","2019-09-23 18:24:22"
122,http://www.blokhin.ru/experience.asp#mammo,1,0.61,0,0,1,0.10,"2013-08-14 06:09:18","2019-06-26 10:48:00"
123,http://www.blokhin.ru/levatoroplastika.php,1,0.61,0,0,2,0.20,"2017-03-06 20:44:20","2020-05-18 14:13:30"
124,"«на 10 лет моложе» – лучшая телепередача о красоте",1,0.61,0,0,1,0.10,"2018-10-05 02:26:13","2020-03-28 01:51:04"
125,"абдоминопластика, абдоминопластика",1,0.61,0,0,2,0.20,"2015-12-05 12:43:11","2020-06-13 11:04:46"
126,"абдоминопластику (пластику живота)",1,0.61,0,0,1,0.10,"2016-12-22 03:52:00","2019-10-02 14:49:34"
127,"гото blok­hin.ru",1,0.61,0,0,1,0.10,"2016-10-20 02:06:50","2020-03-20 04:41:57"
128,"коррекция тубулярной груди",1,0.61,0,0,2,0.20,"2018-12-21 08:30:57","2020-06-07 03:33:37"
129,"официальном сайте",1,0.61,0,0,1,0.10,"2020-03-08 10:37:49","2020-03-08 10:37:49"
130,"официальный сайт",1,0.61,0,0,1,0.10,"2019-05-06 20:47:18","2020-02-22 09:53:07"
131,"пластический хирург блохин с.н.",1,0.61,0,0,1,0.10,"2014-06-24 21:46:22","2019-06-24 13:47:09"
132,"пластический хирург с.н. блохин",1,0.61,0,0,1,0.10,"2019-10-08 04:39:03","2019-10-08 04:39:03"
133,"пластический хирург сергей николаевич блохин",1,0.61,0,0,1,0.10,"2020-01-26 07:30:11","2020-01-26 07:30:11"
134,"посетить сайт",1,0.61,0,0,3,0.31,"2018-12-23 19:04:36","2020-03-23 16:52:43"
135,"профессор блохин с. н.",1,0.61,0,0,1,0.10,"2015-05-24 12:53:52","2019-06-01 06:11:50"
136,"с.н. блохин",1,0.61,0,0,1,0.10,"2018-05-07 05:13:50","2019-05-06 17:44:19"
137,"с.н. блохиным",1,0.61,0,0,1,0.10,"2020-06-06 03:36:52","2020-06-06 03:36:52"
138,"увеличение груди, абдоминопластика",1,0.61,0,0,1,0.10,"2015-10-31 01:12:19","2020-02-28 23:19:39"
