#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
160,/about/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
161,/adres/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
162,/adres/altufevo/,1,0.48,0,0,1,0.05,"2019-11-21 14:16:55","2019-11-21 14:16:55"
163,/adres/proletarskaya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
164,/bolezni-pozvonochnika/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-05-06 15:30:33"
165,/bolezni-pozvonochnika/dorsopatiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
166,/bolezni-pozvonochnika/dorsopatiya/dorsopatiya-grudnaya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
167,/bolezni-pozvonochnika/dorsopatiya/dorsopatiya-poyasnichnaya...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
168,/bolezni-pozvonochnika/dorsopatiya/dorsopatiya-sheynaya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
169,/bolezni-pozvonochnika/miozit/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
170,/bolezni-pozvonochnika/miozit/miozit-grudnoy/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-05-06 15:30:33"
171,/bolezni-pozvonochnika/miozit/miozit-nog/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
172,/bolezni-pozvonochnika/miozit/miozit-poyasnichnyy/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
173,/bolezni-pozvonochnika/miozit/miozit-ruk/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
174,/bolezni-pozvonochnika/miozit/miozit-shei/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
175,/bolezni-pozvonochnika/miozit/miozit-spiny/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
176,/bolezni-pozvonochnika/protruziya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
177,/bolezni-pozvonochnika/protruziya/poyasnichnaya-protruziya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-05-06 15:30:33"
178,/bolezni-pozvonochnika/protruziya/protruziya-grudnogo-otdela...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
179,/bolezni-pozvonochnika/protruziya/sheynaya-protruziya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
180,/bolezni-pozvonochnika/radikulopatiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
181,/bolezni-pozvonochnika/radikulopatiya/poyasnichnaya-radikulo...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
182,/bolezni-pozvonochnika/radikulopatiya/sheynaya-radikulopatiy...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
183,/bolezni-pozvonochnika/zashchemlenie-nerva/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
184,/bolezni-pozvonochnika/zashchemlenie-nerva/zashchemlenie-gru...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
185,/bolezni-pozvonochnika/zashchemlenie-nerva/zashchemlenie-ner...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
186,/bolezni-pozvonochnika/zashchemlenie-nerva/zashchemlenie-ple...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-03-10 14:24:50"
187,/bolezni-pozvonochnika/zashchemlenie-nerva/zashchemlenie-sed...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
188,/bolezni-pozvonochnika/zashchemlenie-nerva/zashchemlenie-she...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
189,/ceny/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
190,/faq/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
191,/korrektsiya-tela/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
192,/korrektsiya-tela/karboksiterapiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
193,/korrektsiya-tela/kavitatsiya-ami/,1,0.48,0,0,1,0.05,"2019-09-14 11:38:03","2019-09-14 11:38:03"
194,/korrektsiya-tela/kriolipoliz/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
195,/korrektsiya-tela/lazernyy-lipoliz/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
196,/korrektsiya-tela/massazh-dlya-pokhudeniya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
197,/korrektsiya-tela/massazh-dlya-pokhudeniya/antitsellyulitnyy...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
198,/korrektsiya-tela/massazh-dlya-pokhudeniya/limfodrenazhnyy-m...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
199,/korrektsiya-tela/massazh-dlya-pokhudeniya/modeliruyushchiy-...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-01-19 15:02:17"
200,/korrektsiya-tela/massazh-dlya-pokhudeniya/vakuumnyy-massazh...,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
201,/korrektsiya-tela/mezoterapiya-tela/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
202,/korrektsiya-tela/miostimulyatsiya/,1,0.48,0,0,1,0.05,"2019-03-10 14:24:50","2019-11-21 14:16:55"
203,/korrektsiya-tela/obertyvaniya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
204,/korrektsiya-tela/obertyvaniya/bandazhnoe-obertyvanie/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
205,/korrektsiya-tela/obertyvaniya/vodoroslevoe-obertyvanie/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
206,/korrektsiya-tela/ozonoterapiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
207,/korrektsiya-tela/r-sleek/,1,0.48,0,0,1,0.05,"2019-11-21 14:16:55","2019-11-21 14:16:55"
208,/korrektsiya-tela/rf-lifting/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
209,/korrektsiya-tela/ultrazvukovaya-liposaktsiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2020-01-28 23:12:20"
210,/kosmetologiya/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
211,/kosmetologiya/apparatnyy-ukhod-skin-master-plus/,1,0.48,0,0,1,0.05,"2018-10-19 09:33:41","2019-11-21 14:16:55"
