#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
240,"лазерная шлифовка цена",1,0.27,1,0.41,1,0.01,"2019-07-19 02:33:51","2019-07-19 02:33:51"
241,"лазерная шлифовка цена в мск",1,0.27,1,0.41,1,0.01,"2019-07-18 06:18:11","2019-07-18 06:18:11"
242,"лазерная эпиляция бикини стоимость",1,0.27,1,0.41,2,0.01,"2019-05-23 13:43:16","2020-05-18 03:17:07"
243,"лазерная эпиляция бикини цена невысокая",1,0.27,1,0.41,1,0.01,"2020-04-15 02:17:31","2020-04-15 02:17:31"
244,"лазерная эпиляция сопрано по выгодной стоимости",1,0.27,1,0.41,3,0.02,"2020-03-24 03:28:54","2020-05-31 08:05:13"
245,"лазерная эпиляция стоимость в москве оптимальная",1,0.27,1,0.41,1,0.01,"2019-11-07 16:24:18","2019-11-07 16:24:18"
246,"лазерное омоложение",1,0.27,1,0.41,1,0.01,"2019-07-20 04:18:50","2019-07-20 04:18:50"
247,"лазерное омоложение в москве",1,0.27,1,0.41,1,0.01,"2019-07-10 21:15:10","2019-07-10 21:15:10"
248,"лазерное омоложение цена в москве",1,0.27,1,0.41,2,0.01,"2019-05-26 10:00:20","2019-06-10 00:30:17"
249,"лазерное удаление растяжек по сниженной стоимости",1,0.27,1,0.41,2,0.01,"2019-12-03 20:32:00","2020-05-21 14:52:01"
250,липосакции,1,0.27,1,0.41,1,0.01,"2019-07-25 19:18:47","2019-07-25 19:18:47"
251,"липосакции body jet",2,0.53,1,0.41,2,0.01,"2013-08-09 11:03:36","2020-01-23 22:26:43"
252,"липосакция - цены и описание операции. зоны: липосакция живота ...",1,0.27,1,0.41,1,0.01,"2020-06-06 04:39:25","2020-06-06 04:39:25"
253,"липосакция без операции",1,0.27,1,0.41,1,0.01,"2020-06-14 09:23:18","2020-06-14 09:23:18"
254,"липосакция в мск",1,0.27,1,0.41,1,0.01,"2020-06-07 05:47:29","2020-06-07 05:47:29"
255,"липосакция на аппарате body jet",1,0.27,1,0.41,5,0.03,"2016-02-18 16:29:21","2020-02-28 08:38:23"
256,"липосакция помогает",1,0.27,1,0.41,1,0.01,"2017-03-17 21:29:22","2017-03-17 21:29:22"
257,"липосакция, цены",1,0.27,1,0.41,1,0.01,"2019-02-17 10:09:19","2019-02-17 10:09:19"
258,"липофилинг груди в москве и мо",1,0.27,1,0.41,1,0.01,"2018-01-31 09:04:04","2018-01-31 09:04:04"
259,"липофиллинг груди",1,0.27,1,0.41,1,0.01,"2020-06-07 04:58:08","2020-06-07 04:58:08"
260,"лучшее сезонное предложение",1,0.27,1,0.41,2,0.01,"2019-10-21 04:38:32","2019-10-31 09:58:44"
261,"лучших пластических хирургов",1,0.27,1,0.41,2,0.01,"2018-10-22 01:19:50","2020-03-24 20:31:18"
262,маммопластика,1,0.27,1,0.41,1,0.01,"2020-01-08 09:42:42","2020-01-08 09:42:42"
263,"международной «академии аллерган»",1,0.27,1,0.41,1,0.01,"2015-10-08 02:47:54","2015-10-08 02:47:54"
264,"микроигольчатый rf лифтинг infini",1,0.27,1,0.41,1,0.01,"2020-04-04 15:14:34","2020-04-04 15:14:34"
265,"микроигольчатый rf лифтинг infini по минимальной стоимости",1,0.27,1,0.41,1,0.01,"2020-04-11 06:55:28","2020-04-11 06:55:28"
266,"моделирования груди 3d form",1,0.27,1,0.41,3,0.02,"2018-04-06 00:02:15","2020-02-27 18:46:25"
267,"на doctorplastic.ru",1,0.27,1,0.41,2,0.01,"2020-05-24 09:12:57","2020-06-16 07:46:22"
268,"на нашем сайте doctorplastic.ru",1,0.27,1,0.41,2,0.01,"2018-08-10 15:01:18","2018-08-10 15:01:18"
269,"на процедуре софтлифтинг",1,0.27,1,0.41,1,0.01,"2017-03-17 21:29:22","2017-03-17 21:29:22"
270,"на сайте doctorplastic",1,0.27,1,0.41,5,0.03,"2016-02-15 18:30:22","2019-12-29 16:58:00"
271,"на сайте doctorplastic.ru",1,0.27,1,0.41,2,0.01,"2020-05-24 10:21:45","2020-06-07 21:22:44"
272,"на сайте www.doctorplastic.ru",1,0.27,1,0.41,1,0.01,"2018-11-27 14:12:54","2018-11-27 14:12:54"
273,"на сайте клиники doctorplastic",1,0.27,1,0.41,5,0.03,"2016-02-17 22:40:53","2020-04-22 02:28:31"
274,"на этом сайте",1,0.27,1,0.41,1,0.01,"2020-01-06 04:23:33","2020-01-06 04:23:33"
275,"недорогие пластические операции",1,0.27,1,0.41,1,0.01,"2020-01-21 15:55:40","2020-01-21 15:55:40"
276,"новую грудь даши пынзарь",1,0.27,1,0.41,1,0.01,"2017-04-08 12:35:05","2017-04-08 12:35:05"
277,"нос после ринопластики",1,0.27,1,0.41,2,0.01,"2015-02-15 00:06:57","2020-04-04 00:28:51"
278,"операция по увеличению груди",1,0.27,1,0.41,2,0.01,"2016-02-16 15:25:46","2020-05-11 21:57:56"
279,"операция по уменьшению груди",1,0.27,1,0.41,1,0.01,"2017-12-20 19:22:01","2017-12-20 19:22:01"
280,открыть,1,0.27,1,0.41,8,0.05,"2020-03-15 15:06:42","2020-06-07 22:25:58"
281,отопластика,1,0.27,1,0.41,1,0.01,"2017-12-11 23:46:18","2017-12-11 23:46:18"
282,"отопластика в москве недорого",1,0.27,1,0.41,1,0.01,"2019-12-15 10:12:22","2019-12-15 10:12:22"
283,"отопластика стоимость низкая",1,0.27,1,0.41,2,0.01,"2020-05-25 14:45:14","2020-06-07 21:40:44"
