#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
130,"увеличение груди с помощью эндопротезов (эндопротезирование)",1,1,1,2,1,0.01,"2016-10-29 11:43:05","2019-03-17 17:15:56"
131,"увеличение ягодиц (глютеопластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2020-01-05 02:22:24"
132,"увеличивающая маммопластика (эндопротезирование груди)",1,1,1,2,1,0.01,"2019-08-21 06:10:08","2019-10-06 22:12:16"
133,"удаление биогеля из груди",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-29 07:58:18"
134,"удаление биогеля из губ",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-23 18:10:08"
135,"удаление биогеля из ягодиц и голеней",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-11-30 06:02:28"
136,"удаление доброкачественных новообразований",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-29 07:58:18"
137,"удаление имплантов",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-29 07:58:18"
138,"уменьшение груди (редукционная маммопластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-23 18:10:08"
139,"уменьшение груди у мужчин (гинекомастия)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
140,"христенко анна ивановна пластический хирург, к.м.н",1,1,1,2,1,0.01,"2020-02-06 22:58:03","2020-02-06 22:58:03"
141,"христенко анна ивановна пластический хирург, к.м.н (м.вднх)",1,1,1,2,1,0.01,"2019-12-06 21:33:45","2019-12-06 21:33:45"
142,"христенко анна ивановна христенко анна ивановна",1,1,1,2,9,0.09,"2019-10-28 08:08:27","2020-06-11 15:11:25"
143,"центр пластической хирургии центр пластической хирургии",1,1,1,2,4,0.04,"2019-01-11 19:25:59","2020-05-22 16:10:58"
144,щепелин,1,1,1,2,1,0.01,"2019-12-26 04:59:24","2019-12-26 04:59:24"
145,"щепелин михаил андреевич пластический хирург, к.м.н",1,1,1,2,1,0.01,"2020-02-06 22:58:03","2020-02-06 22:58:03"
146,"щепелин михаил андреевич пластический хирург, к.м.н (м.войковская / м.вднх)",1,1,1,2,1,0.01,"2019-12-06 21:33:45","2019-12-06 21:33:45"
147,"щепелин михаил андреевич щепелин михаил андреевич",1,1,1,2,6,0.06,"2017-08-06 05:02:10","2020-06-11 03:35:07"
148,"эндопротезирование скул",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
149,эстетические,1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-08-24 11:58:13"
150,"blefaroweek.sm-plastica.ru blefaroweek.sm-plastica.ru",1,1,0,0,2,0.02,"2020-03-23 05:52:39","2020-04-05 03:31:34"
