#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
28,2,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-grudi/podtyazhka-grudi-mastopeksiya/,,"Увеличение груди с помощью эндопротезов (эндопротезирование)",,Dofollow,,"2019-08-31 20:10:55","2020-06-15 15:05:47",,ru,277,214,,14
29,2,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-litsa-i-shei/plastika-nosa-rinoplastika/,,"Пластика носа (ринопластика)",,Dofollow,,"2019-09-08 19:31:55","2020-06-15 15:05:47",,ru,277,214,,14
30,2,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/podtyazhka-litsa-feyslifting/,,"Подтяжка лица",,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
31,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/experts/li-aleksandr-gennadevich/,,Ли,,"Dofollow, Image",,"2019-07-07 10:35:40","2020-06-15 15:05:47",,ru,277,214,,14
32,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/experts/shchepelin-mikhail-andreevich/,,Щепелин,,"Dofollow, Image",,"2019-08-05 21:13:06","2020-06-15 15:05:47",,ru,277,214,,14
33,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/experts/goncharova-ilyana-aleksandrovna/,,"Гончарова Иляна Александровна",,Dofollow,,"2020-05-26 06:23:42","2020-06-15 15:05:47",,ru,277,214,,14
34,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/experts/nozhin-sergey-yurevich/,,"Ножин Сергей Юрьевич",,Dofollow,,"2019-10-29 18:56:42","2020-06-15 15:05:47",,ru,277,214,,14
35,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/experts/senchikhina-oksana-alekseevna/,,"Сенчихина Оксана Алексеевна",,Dofollow,,"2020-04-08 15:44:52","2020-06-15 15:05:47",,ru,277,214,,14
36,1,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/experts/strazhnikov-ruslan-andreevich/,,"Стражников Руслан Андреевич",,Dofollow,,"2019-10-29 18:56:42","2020-06-15 15:05:47",,ru,277,214,,14
37,1,56,16,11,https://www.smclinic.ru/doctors/otolaringolog-lor.html,"Отоларинголог (ЛОР) - цена, запись на прием и консультацию ЛОР врача, вызов на дом в «СМ-Клиника»",197,48,https://www.sm-plastica.ru/services/plastika-nosa-rinoplastika/,"Возможно Вам будет интересно:","пластика носа в Москве",.,Dofollow,,"2019-07-09 05:55:44","2020-06-14 13:06:00",,ru,699,565,,15
