#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
175,1,2,8,0,https://citiko.ru/stores/frau_klinik,"Frau Klinik: адреса клиник на карте, отзывы, телефон горячей линии",18,1,https://www.frauklinik.ru/,,"Официальный сайт",,Dofollow,,"2020-03-04 03:51:03","2020-04-17 01:23:41",,,0,0,,1
176,1,31,8,0,https://dommedika.com/kognie_bolezni_i_uxod_za_kogei/korrekcia_form.html,"Коррекция форм",26,3,https://www.frauklinik.ru/,"Статья написана по материалам сайта",www.frauklinik.ru,.,"Dofollow, Content",,"2019-10-27 15:39:24","2020-05-25 12:44:04",,ru,0,0,,3
177,1,29,8,0,https://viralhub.video/video/EnZfHD-vqWc/-,"АЛСУ Первое откровенное интервью о Голосе и Микелле,ENZFH - ViralHub",66,10,https://www.frauklinik.ru/,,https://www.frauklinik.ru/,,"Nofollow, Content",,"2020-06-09 18:11:27","2020-06-09 18:11:27",,ru,0,0,,8
178,1,31,8,0,http://www.rosmed.ru/annonce/show/2884/Dlinnye_nogi_realnost,"Длинные ноги - реальность!",22,11,https://www.frauklinik.ru/,"хотят исправить кривизну нижних конечностей (клиника пластической хирургии",ФрауКлиник,"может устранить как Х, так О-образный дефект конечностей);","Dofollow, Content",,"2020-03-30 17:06:04","2020-06-07 01:14:21",,ru,0,0,,6
179,1,31,8,0,https://headinsider.net/2019/10/23/vozmozhnosti-intimnoy-plastiki-dlya-zhenshchin/,"Возможности интимной пластики для женщин",24,15,https://www.frauklinik.ru/,"Статья написана по материалам сайта",www.frauklinik.ru,,"Dofollow, Content",,"2019-10-25 06:45:47","2020-05-26 22:38:10",,ru,0,0,,10
180,4,13,8,1,http://vseokosmetologii.ru/news/date/2018-06-06,"Кастинг «На 10 лет моложе!»",53,71,http://www.frauklinik.ru/,«,"Frau Klinik","совместно с Первым каналом начинает снимать 8 сезон „На 10 лет","Dofollow, Content",,"2020-06-03 13:56:48","2020-06-03 13:56:48",,ru,0,0,,13
181,4,28,8,0,https://hyrax.ru/zdorovie/8/212/eti_glaza_naprotiv,"Эти глаза напротив",234,14,http://www.frauklinik.ru/,"заботливыми, уделять им повышенное внимание. И будь то глазная или","пластическая хирургия",", важен высокопрофессиональный и квалифицированный подход, поэтому следует обращаться только",Dofollow,,"2018-10-15 21:15:26","2020-05-29 15:59:39",,ru,0,0,,9
182,3,28,8,0,http://rusmedserver.ru/krasota_i_zdorovie/Lazernaya-shlifovka.html,"Лазерная шлифовка",33,3,http://www.frauklinik.ru/,"Но, к сожалению, лазерную шлифовку кожи может предложить не каждая","Московская клиника пластической хирургии",.,Dofollow,,"2016-05-20 02:29:20","2020-04-18 05:58:18",,,0,0,,2
183,4,29,8,0,http://www.baby-best.ru/forum/topic_5352,"Косметология в ""Frau Klinik"" » BABY-BEST Forum",100,7,http://www.frauklinik.ru/,"Записалась на массаж лица в фрау клиник",http://www.frauklinik.ru,", на уходы и на общий массаж тела.","Dofollow, Content",,"2018-01-01 19:29:39","2020-04-11 06:16:40",,ru,0,0,,7
184,1,10,8,0,https://pohudenie.glivec.su/inekcionnaja-kosmetologija-dlja-pohudenija/,"Инъекционная косметология для похудения — Похудение",27,2,http://www.frauklinik.ru/,Source:,www.frauklinik.ru,,"Dofollow, Content",,"2020-03-10 16:39:27","2020-04-27 09:53:44",,ru,0,0,,2
185,4,27,8,0,https://ruplastika.ru/articles/18646.html,"«Фрау Клиник»: увеличиваем грудь перед летом",48,9,http://www.frauklinik.ru/,,www.frauklinik.ru,,"Dofollow, Content",,"2018-08-10 16:20:23","2020-06-05 23:30:37",,ru,,,,7
186,2,27,8,0,https://ruplastika.ru/articles/17808.html,"Что делать, если одна грудь больше другой?",48,9,http://www.frauklinik.ru/,"получить в «клинике пластической хирургии Frau Klinik - Фрау Клиник» (",www.frauklinik.ru,).,"Dofollow, Content",,"2018-08-09 19:41:36","2020-06-05 23:27:32",,ru,0,0,,7
187,8,27,7,0,http://estetmedicina.ru/estetika/glavnaya-tema/liposaktsiya-chto-my-znaem-o-ney/,"Липосакция. Что мы знаем о ней? | Интернет-журнал Estetmedicina.ru",109,7,http://www.frauklinik.ru/,,www.frauklinik.ru,,"Dofollow, Content",,"2019-12-26 09:56:30","2020-06-07 02:42:24",,ru,0,0,,5
